"","newdata.code1","newdata.code2","fit_value","fit_exp"
"36","ABW","VCT",-11.9063404819296,6.74748657332959e-06
"37","ABW","NER",-12.1570247923749,5.25135304149993e-06
"38","ABW","PRY",-12.5071502077068,3.70010186464914e-06
"39","ABW","KHM",-10.5010135075345,2.75085550887688e-05
"40","ABW","GNQ",-12.6815584177863,3.10791517660385e-06
"41","ABW","CHE",-12.9076265679393,2.4790712399771e-06
"42","ABW","RWA",-13.1159179197265,2.0129325486808e-06
"43","ABW","COL",-5.81728632711622,0.00297566919103528
"44","ABW","AUS",-10.0012647866041,4.53425448369883e-05
"45","ABW","NZL",-11.4348641359795,1.08118896486478e-05
"46","ABW","TGO",-10.4366913064615,2.93361120852593e-05
"47","ABW","UGA",-12.154951020591,5.26225444887365e-06
"48","ABW","MAR",-8.87365371892834,0.000140030021518167
"49","ABW","FJI",-13.4382050052571,1.45834984404345e-06
"50","ABW","KWT",-11.5546909121199,9.5909471259083e-06
"51","ABW","COG",-11.300194985059,1.23705119616104e-05
"52","ABW","KEN",-9.19018709407245,0.000102035772633452
"53","ABW","JOR",-11.2834841102311,1.25789709535683e-05
"54","ABW","GHA",-8.96617120665735,0.000127656026194861
"55","ABW","LCA",-11.4593787826744,1.0550062407315e-05
"56","ABW","ZMB",-13.2833970624303,1.70252679158924e-06
"57","ABW","CMR",-9.54319109034487,7.16877202766569e-05
"58","ABW","THA",-8.99862741190941,0.000123579311219154
"59","ABW","DJI",-13.3189854180151,1.6430021373703e-06
"60","ABW","GRD",-11.5940810103352,9.22050259645654e-06
